ID,visit_datetime,reserve_datetime,reserve_visitors
"restaurant_ 44","2017-01-01 10:00:00","2017-01-01 10:00:00",5
"restaurant_ 44","2017-01-01 11:00:00","2017-01-01 11:00:00",2
"restaurant_ 91","2017-01-01 12:00:00","2017-01-01 09:00:00",1
"restaurant_ 539","2017-01-01 17:00:00","2017-01-01 15:00:00",2
"restaurant_ 83","2017-01-01 17:00:00","2017-01-01 17:00:00",3
"restaurant_ 489","2017-01-01 18:00:00","2017-01-01 18:00:00",3
"restaurant_ 539","2017-01-01 18:00:00","2017-01-01 13:00:00",7
"restaurant_ 100","2017-01-01 18:00:00","2017-01-01 17:00:00",2
"restaurant_ 729","2017-01-01 18:00:00","2017-01-01 17:00:00",4
"restaurant_ 729","2017-01-01 18:00:00","2017-01-01 17:00:00",3
"restaurant_ 539","2017-01-01 19:00:00","2017-01-01 15:00:00",2
"restaurant_ 69","2017-01-01 19:00:00","2017-01-01 15:00:00",2
"restaurant_ 69","2017-01-01 19:00:00","2017-01-01 18:00:00",2
"restaurant_ 69","2017-01-01 19:00:00","2017-01-01 18:00:00",2
"restaurant_ 536","2017-01-01 19:00:00","2017-01-01 13:00:00",4
"restaurant_ 543","2017-01-01 19:00:00","2017-01-01 15:00:00",4
"restaurant_ 489","2017-01-01 20:00:00","2017-01-01 20:00:00",1
"restaurant_ 539","2017-01-01 20:00:00","2017-01-01 19:00:00",2
"restaurant_ 536","2017-01-01 20:00:00","2017-01-01 16:00:00",2
"restaurant_ 83","2017-01-01 20:00:00","2017-01-01 19:00:00",3
"restaurant_ 83","2017-01-01 20:00:00","2017-01-01 19:00:00",4
"restaurant_ 584","2017-01-01 20:00:00","2017-01-01 00:00:00",2
"restaurant_ 584","2017-01-01 20:00:00","2017-01-01 17:00:00",5
"restaurant_ 493","2017-01-01 20:00:00","2017-01-01 16:00:00",5
"restaurant_ 539","2017-01-01 21:00:00","2017-01-01 20:00:00",7
"restaurant_ 437","2017-01-01 21:00:00","2017-01-01 16:00:00",3
"restaurant_ 69","2017-01-01 21:00:00","2017-01-01 18:00:00",5
"restaurant_ 584","2017-01-01 21:00:00","2017-01-01 18:00:00",7
"restaurant_ 493","2017-01-01 21:00:00","2017-01-01 16:00:00",4
"restaurant_ 437","2017-01-01 23:00:00","2017-01-01 23:00:00",2
"restaurant_ 83","2017-01-02 11:00:00","2017-01-02 11:00:00",3
"restaurant_ 67","2017-01-02 11:00:00","2017-01-02 11:00:00",2
"restaurant_ 44","2017-01-02 11:00:00","2017-01-02 11:00:00",1
"restaurant_ 83","2017-01-02 12:00:00","2017-01-01 18:00:00",3
"restaurant_ 44","2017-01-02 12:00:00","2017-01-02 12:00:00",4
"restaurant_ 253","2017-01-02 13:00:00","2017-01-01 21:00:00",2
"restaurant_ 44","2017-01-02 13:00:00","2017-01-02 13:00:00",2
"restaurant_ 44","2017-01-02 13:00:00","2017-01-02 13:00:00",1
"restaurant_ 560","2017-01-02 16:00:00","2017-01-01 17:00:00",3
"restaurant_ 488","2017-01-02 16:00:00","2017-01-01 14:00:00",3
"restaurant_ 543","2017-01-02 16:00:00","2017-01-01 21:00:00",11
"restaurant_ 205","2017-01-02 17:00:00","2017-01-01 20:00:00",3
"restaurant_ 205","2017-01-02 17:00:00","2017-01-01 22:00:00",7
"restaurant_ 83","2017-01-02 17:00:00","2017-01-01 20:00:00",7
"restaurant_ 67","2017-01-02 17:00:00","2017-01-02 13:00:00",6
"restaurant_ 50","2017-01-02 17:00:00","2017-01-01 15:00:00",2
