ID,visit_date,visitors
"restaurant_ 113",2017-01-05,11
"restaurant_ 113",2017-01-06,21
"restaurant_ 113",2017-01-07,16
"restaurant_ 113",2017-01-10,16
"restaurant_ 113",2017-01-11,12
"restaurant_ 113",2017-01-12,10
"restaurant_ 113",2017-01-13,25
"restaurant_ 113",2017-01-14,28
"restaurant_ 113",2017-01-16,5
"restaurant_ 113",2017-01-17,21
"restaurant_ 113",2017-01-18,24
"restaurant_ 113",2017-01-19,17
"restaurant_ 113",2017-01-20,24
"restaurant_ 113",2017-01-21,38
"restaurant_ 113",2017-01-22,2
"restaurant_ 113",2017-01-23,11
"restaurant_ 113",2017-01-24,8
"restaurant_ 113",2017-01-25,25
"restaurant_ 113",2017-01-26,15
"restaurant_ 113",2017-01-27,37
"restaurant_ 113",2017-01-28,23
"restaurant_ 113",2017-01-29,1
"restaurant_ 113",2017-01-30,4
"restaurant_ 113",2017-01-31,12
"restaurant_ 113",2017-02-01,10
"restaurant_ 113",2017-02-02,19
"restaurant_ 113",2017-02-03,54
"restaurant_ 113",2017-02-04,30
"restaurant_ 113",2017-02-05,3
"restaurant_ 113",2017-02-06,11
"restaurant_ 113",2017-02-07,8
"restaurant_ 113",2017-02-08,22
"restaurant_ 113",2017-02-09,23
"restaurant_ 113",2017-02-10,25
"restaurant_ 113",2017-02-11,23
"restaurant_ 113",2017-02-13,20
"restaurant_ 113",2017-02-14,17
"restaurant_ 113",2017-02-15,15
"restaurant_ 113",2017-02-16,16
"restaurant_ 113",2017-02-17,39
"restaurant_ 113",2017-02-18,22
"restaurant_ 113",2017-02-19,3
"restaurant_ 113",2017-02-20,7
"restaurant_ 113",2017-02-21,14
"restaurant_ 113",2017-02-22,25
"restaurant_ 113",2017-02-23,11
"restaurant_ 113",2017-02-24,40
"restaurant_ 113",2017-02-25,27
"restaurant_ 113",2017-02-27,8
"restaurant_ 113",2017-02-28,11
"restaurant_ 113",2017-03-01,18
"restaurant_ 113",2017-03-02,8
"restaurant_ 113",2017-03-03,19
"restaurant_ 113",2017-03-04,42
"restaurant_ 113",2017-03-06,17
"restaurant_ 113",2017-03-07,5
"restaurant_ 113",2017-03-08,17
"restaurant_ 113",2017-03-09,10
"restaurant_ 113",2017-03-10,41
"restaurant_ 113",2017-03-11,26
"restaurant_ 113",2017-03-12,11
"restaurant_ 113",2017-03-13,7
"restaurant_ 113",2017-03-14,7
"restaurant_ 113",2017-03-15,21
"restaurant_ 113",2017-03-16,12
"restaurant_ 113",2017-03-17,35
"restaurant_ 113",2017-03-18,7
"restaurant_ 113",2017-03-19,1
"restaurant_ 113",2017-03-21,9
"restaurant_ 113",2017-03-22,27
"restaurant_ 113",2017-03-23,16
"restaurant_ 113",2017-03-24,27
"restaurant_ 113",2017-03-25,20
"restaurant_ 113",2017-03-27,6
"restaurant_ 113",2017-03-28,18
"restaurant_ 113",2017-03-29,20
"restaurant_ 113",2017-03-30,20
"restaurant_ 113",2017-03-31,31
"restaurant_ 600",2017-01-05,4
"restaurant_ 600",2017-01-06,2
"restaurant_ 600",2017-01-08,1
"restaurant_ 600",2017-01-10,2
"restaurant_ 600",2017-01-11,1
"restaurant_ 600",2017-01-12,3
"restaurant_ 600",2017-01-14,1
"restaurant_ 600",2017-01-15,1
"restaurant_ 600",2017-01-20,3
"restaurant_ 600",2017-01-21,1
"restaurant_ 600",2017-01-25,1
"restaurant_ 600",2017-01-28,2
"restaurant_ 600",2017-02-01,6
"restaurant_ 600",2017-02-03,5
"restaurant_ 600",2017-02-04,4
"restaurant_ 600",2017-02-05,8
"restaurant_ 600",2017-02-07,3
"restaurant_ 600",2017-02-09,1
"restaurant_ 600",2017-02-10,3
"restaurant_ 600",2017-02-11,2
"restaurant_ 600",2017-02-12,2
"restaurant_ 600",2017-02-14,1
"restaurant_ 600",2017-02-15,3
"restaurant_ 600",2017-02-18,1
"restaurant_ 600",2017-02-19,2
"restaurant_ 600",2017-02-23,1
"restaurant_ 600",2017-02-25,1
"restaurant_ 600",2017-02-28,3
"restaurant_ 600",2017-03-01,9
"restaurant_ 600",2017-03-03,5
"restaurant_ 600",2017-03-04,2
"restaurant_ 600",2017-03-05,2
"restaurant_ 600",2017-03-07,2
"restaurant_ 600",2017-03-09,2
"restaurant_ 600",2017-03-10,11
"restaurant_ 600",2017-03-11,7
"restaurant_ 600",2017-03-15,1
"restaurant_ 600",2017-03-16,3
"restaurant_ 600",2017-03-19,5
"restaurant_ 600",2017-03-21,1
"restaurant_ 600",2017-03-22,3
"restaurant_ 600",2017-03-23,2
"restaurant_ 600",2017-03-24,2
"restaurant_ 600",2017-03-25,4
"restaurant_ 600",2017-03-26,6
"restaurant_ 600",2017-03-28,3
"restaurant_ 600",2017-03-29,2
"restaurant_ 600",2017-03-30,1
"restaurant_ 283",2017-01-01,24
"restaurant_ 283",2017-01-02,24
"restaurant_ 283",2017-01-03,45
"restaurant_ 283",2017-01-04,38
"restaurant_ 283",2017-01-05,15
"restaurant_ 283",2017-01-06,28
"restaurant_ 283",2017-01-07,36
"restaurant_ 283",2017-01-08,27
"restaurant_ 283",2017-01-09,38
"restaurant_ 283",2017-01-10,18
"restaurant_ 283",2017-01-11,13
"restaurant_ 283",2017-01-12,28
"restaurant_ 283",2017-01-13,32
"restaurant_ 283",2017-01-14,29
"restaurant_ 283",2017-01-15,40
"restaurant_ 283",2017-01-16,31
"restaurant_ 283",2017-01-17,17
"restaurant_ 283",2017-01-18,11
"restaurant_ 283",2017-01-19,31
"restaurant_ 283",2017-01-20,15
"restaurant_ 283",2017-01-21,39
"restaurant_ 283",2017-01-22,46
"restaurant_ 283",2017-01-23,18
"restaurant_ 283",2017-01-24,8
"restaurant_ 283",2017-01-25,18
"restaurant_ 283",2017-01-26,10
"restaurant_ 283",2017-01-27,23
"restaurant_ 283",2017-01-28,43
"restaurant_ 283",2017-01-29,30
"restaurant_ 283",2017-01-30,2
"restaurant_ 283",2017-02-03,15
"restaurant_ 283",2017-02-04,31
"restaurant_ 283",2017-02-05,35
"restaurant_ 283",2017-02-06,21
"restaurant_ 283",2017-02-07,9
"restaurant_ 283",2017-02-08,18
"restaurant_ 283",2017-02-09,25
"restaurant_ 283",2017-02-10,20
"restaurant_ 283",2017-02-11,38
"restaurant_ 283",2017-02-12,37
"restaurant_ 283",2017-02-13,23
"restaurant_ 283",2017-02-14,22
"restaurant_ 283",2017-02-15,26
"restaurant_ 283",2017-02-16,14
"restaurant_ 283",2017-02-17,12
"restaurant_ 283",2017-02-18,41
"restaurant_ 283",2017-02-19,33
"restaurant_ 283",2017-02-20,18
"restaurant_ 283",2017-02-21,19
"restaurant_ 283",2017-02-22,17
"restaurant_ 283",2017-02-23,11
"restaurant_ 283",2017-02-24,24
"restaurant_ 283",2017-02-25,38
"restaurant_ 283",2017-02-26,43
"restaurant_ 283",2017-02-27,14
"restaurant_ 283",2017-02-28,19
"restaurant_ 283",2017-03-01,17
"restaurant_ 283",2017-03-02,15
"restaurant_ 283",2017-03-03,19
"restaurant_ 283",2017-03-04,20
"restaurant_ 283",2017-03-05,32
"restaurant_ 283",2017-03-06,16
"restaurant_ 283",2017-03-07,26
"restaurant_ 283",2017-03-08,16
"restaurant_ 283",2017-03-09,19
"restaurant_ 283",2017-03-10,26
"restaurant_ 283",2017-03-11,21
"restaurant_ 283",2017-03-12,42
"restaurant_ 283",2017-03-13,17
"restaurant_ 283",2017-03-14,26
"restaurant_ 283",2017-03-15,16
"restaurant_ 283",2017-03-16,18
"restaurant_ 283",2017-03-17,15
"restaurant_ 283",2017-03-18,26
"restaurant_ 283",2017-03-19,37
"restaurant_ 283",2017-03-20,36
"restaurant_ 283",2017-03-21,12
"restaurant_ 283",2017-03-22,29
"restaurant_ 283",2017-03-23,23
"restaurant_ 283",2017-03-24,15
"restaurant_ 283",2017-03-25,19
"restaurant_ 283",2017-03-26,22
"restaurant_ 283",2017-03-27,20
"restaurant_ 283",2017-03-28,16
"restaurant_ 283",2017-03-29,20
"restaurant_ 283",2017-03-30,27
"restaurant_ 283",2017-03-31,10
"restaurant_ 186",2017-01-01,7
"restaurant_ 186",2017-01-02,11
"restaurant_ 186",2017-01-03,7
"restaurant_ 186",2017-01-04,8
"restaurant_ 186",2017-01-05,9
"restaurant_ 186",2017-01-06,10
"restaurant_ 186",2017-01-07,7
"restaurant_ 186",2017-01-08,5
"restaurant_ 186",2017-01-09,7
"restaurant_ 186",2017-01-10,5
"restaurant_ 186",2017-01-11,11
"restaurant_ 186",2017-01-12,5
"restaurant_ 186",2017-01-13,6
"restaurant_ 186",2017-01-14,6
"restaurant_ 186",2017-01-15,5
"restaurant_ 186",2017-01-16,13
"restaurant_ 186",2017-01-17,5
"restaurant_ 186",2017-01-18,6
"restaurant_ 186",2017-01-19,5
"restaurant_ 186",2017-01-20,8
"restaurant_ 186",2017-01-21,8
"restaurant_ 186",2017-01-22,16
"restaurant_ 186",2017-01-23,4
"restaurant_ 186",2017-01-24,7
"restaurant_ 186",2017-01-25,8
"restaurant_ 186",2017-01-26,8
"restaurant_ 186",2017-01-27,10
"restaurant_ 186",2017-01-28,14
"restaurant_ 186",2017-01-29,8
"restaurant_ 186",2017-01-30,2
"restaurant_ 186",2017-01-31,9
"restaurant_ 186",2017-02-01,5
"restaurant_ 186",2017-02-02,11
"restaurant_ 186",2017-02-03,5
"restaurant_ 186",2017-02-04,6
"restaurant_ 186",2017-02-05,12
"restaurant_ 186",2017-02-06,2
"restaurant_ 186",2017-02-07,4
"restaurant_ 186",2017-02-08,4
"restaurant_ 186",2017-02-09,12
"restaurant_ 186",2017-02-10,2
"restaurant_ 186",2017-02-11,12
"restaurant_ 186",2017-02-12,7
"restaurant_ 186",2017-02-13,5
"restaurant_ 186",2017-02-14,8
"restaurant_ 186",2017-02-15,7
